Grid,Midden,MomTagL,MomTagR,MomColors,SquirrelID,MySQL,PlaybackTreatment,PartDate_Litter1_,Litter1N1Date,Litter1N2Date,Litter2PartDate,Litter2N1Date,Litter2N2Date,AxyPeriod_BeginningOrLac_,Axy_,DateStart,TimeStart,DeployDate,DeployTime,DateRemoved,TimeRemoved,DateTurnedOff,SIGNAL1START,SIGNAL1END,SIGNAL2START,SIGNAL2END,TimeTurnedOff,filename
JO,Q10,H4682,H4683,Y/Y,20389,SELECT id FROM `KRSP 2019`.squirrel where taglft='H4682' AND tagrt='H4683';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,3,2019-04-03,08:19:34,2019-04-04,11:02:15,2019-04-23,15:25:00,2019-04-23,15:53:05,15:53:35,15:54:05,15:54:25,04:07:28,BJD3_20389_APRIL2019_BJD03_1.csv
JO,K3,M2760,M0474,R!/R!,21240,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2760' AND tagrt='M0474';,RATTLE,Male,,,,,,BEGINNING,5,2019-04-03,09:16:10,2019-04-04,12:01:40,2019-04-18,10:52:37,2019-04-20,15:13:15,15:13:45,15:14:15,15:14:35,15:27:35,BJD5_21240_April2019_BJD5_5_1.csv
JO,K.7.,M0234,M0235,G/W,20760,SELECT id FROM `KRSP 2019`.squirrel where taglft='M0234' AND tagrt='M0235';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,6,2019-04-03,08:19:42,2019-04-04,11:29:15,2019-04-18,11:05:29,2019-04-20,15:13:15,15:13:45,15:14:15,15:14:35,15:26:50,BJD6_20760_April2019_BJD06_1.csv
JO,H.17,M1801,M1802,Y!/Y!,21964,SELECT id FROM `KRSP 2019`.squirrel where taglft='M1801' AND tagrt='M1802';,RATTLE,Male,,,,,,BEGINNING,7,2019-04-03,08:19:26,2019-04-08,11:33:00,2019-04-23,10:52:41,2019-04-23,15:24:40,15:25:10,15:25:40,15:26:00,15:36:58,BJD7_21964_APRIL2019_BJD7_1.csv
JO,I8.,M1846,M1847,-/O!,22506,SELECT id FROM `KRSP 2019`.squirrel where taglft='M1846' AND tagrt='M1847';,RATTLE,Male,,,,,,BEGINNING,9,2019-04-03,09:17:00,2019-04-08,10:53:00,2019-04-23,10:32:00,2019-04-23,15:24:40,15:25:10,15:25:40,15:26:00,15:38:04,BJD9_22506_APRIL2019_BJD9_1.csv
BT,M5.,M5132,M5133,Y!/Y!,23368,SELECT id FROM `KRSP 2019`.squirrel where taglft='M5132' AND tagrt='M5133';,SHAM,Male,,,,,,BEGINNING,20,2019-04-06,16:19:09,2019-04-08,11:59:00,2019-05-09,06:20:00,2019-05-09,14:21:00,14:21:30,14:22:00,14:22:20,14:42:39,
BT,K5,M2413,M2407,W!/W!,22671,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2413' AND tagrt='M2407';,SHAM,Male,,,,,,BEGINNING,11,2019-04-03,08:19:19,2019-04-04,11:38:00,2019-04-20,11:15:00,2019-04-20,15:13:15,15:13:45,15:14:15,15:14:35,15:29:31,BJD11_22671_April2019_BJD11_1.csv
BT,E2,M2209,M2210,O!/Y!,22649,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2209' AND tagrt='M2210';,SHAM,Male,,,,,,BEGINNING,13,2019-04-03,11:50:30,2019-04-04,11:05:00,2019-05-09,08:06:00,2019-05-09,14:21:00,14:21:30,14:22:00,14:22:20,14:42:40,
JO,I14,H2883,H2884,R/G,19432,SELECT id FROM `KRSP 2019`.squirrel where taglft='H2883' AND tagrt='H2884';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,14,2019-04-03,11:50:22,2019-04-06,10:56:50,2019-04-21,10:51:08,2019-04-21,16:06:00,16:06:30,16:07:00,16:07:20,16:19:04,BJD14_19432_APRIL2019_BJD14_1.csv
BT,B.3,F8837,F8839,G/G,22101,SELECT id FROM `KRSP 2019`.squirrel where taglft='F8837' AND tagrt='F8839';,SHAM,Pre-pregnancy,,,,,,BEGINNING,15,2019-04-03,11:49:53,2019-04-04,12:48:00,2019-04-20,10:50:00,2019-04-20,15:13:15,15:13:45,15:14:15,15:14:35,15:28:47,BJD15_22101_April2019_BJD15_3_1.csv
