"","squirrel_id","f1","f2","byear","bcert","litter_id","dates","datee","part","longevity"
"1",11994,6,16,2011,"Y",5070,NA,"2016-03-21",NA,NA
"2",12846,6,1,2011,"Y",5070,NA,"2014-08-17",NA,NA
"3",24816,6,6,2019,"Y",9245,NA,NA,NA,NA
"4",12702,6,15,2011,"Y",5102,NA,"2011-08-15",NA,NA
"5",24817,6,6,2019,"Y",9245,NA,NA,NA,NA
"6",12847,6,16,2011,"Y",5102,NA,"2011-05-25",NA,NA
"7",928,6,1,1987,"Y",353,"1987-02-03","1990-08-23",NA,1296
"8",2295,6,5,1987,"Y",353,"1987-02-03","1994-07-19",NA,2722
"9",51,6,7,1987,"Y",351,"1987-02-04","1987-05-25",NA,109
"10",55,6,7,1987,"Y",351,"1987-02-04","1987-05-28",NA,112
"11",203,6,1,1987,"Y",351,"1987-02-04","1987-08-03",NA,179
"12",186,6,1,1987,"Y",326,"1987-02-21","1987-07-27",NA,155
"13",77,6,1,1987,"Y",362,"1987-02-28","1987-06-01",NA,92
"14",224,6,1,1987,"Y",361,"1987-03-06","1987-08-11",NA,157
"15",93,6,5,1987,"Y",331,"1987-03-06","1987-06-15",NA,100
"16",134,6,1,1987,"Y",331,"1987-03-06","1987-06-22",NA,107
"17",881,6,1,1987,"Y",331,"1987-03-06","1990-08-20",NA,1262
"18",83,6,7,1987,"Y",345,"1987-03-08","1987-06-08",NA,91
"19",178,6,1,1987,"Y",345,"1987-03-08","1987-07-20",NA,133
"20",58,6,1,1987,"Y",374,"1987-03-08","1987-06-01",NA,84
"21",54,6,7,1987,"Y",345,"1987-03-08","1987-05-25",NA,77
"22",191,6,1,1987,"Y",346,"1987-03-17","1987-08-03",NA,138
"23",70,6,1,1987,"Y",346,"1987-03-17","1987-06-01",NA,75
"24",1332,6,1,1987,"Y",346,"1987-03-17","1992-06-18",NA,1919
"25",106,6,1,1987,"Y",323,"1987-03-18","1987-06-22",NA,95
"26",133,6,1,1987,"Y",320,"1987-03-18","1987-06-22",NA,95
"27",163,6,1,1987,"Y",320,"1987-03-18","1987-07-13",NA,116
"28",615,6,15,1987,"Y",320,"1987-03-18","1989-08-15",NA,880
"29",234,6,5,1987,"Y",320,"1987-03-18","1988-05-05",NA,413
"30",135,6,1,1987,"Y",322,"1987-03-19","1987-06-22",NA,94
"31",131,6,1,1987,"Y",322,"1987-03-19","1987-06-22",NA,94
"32",62,6,1,1987,"Y",350,"1987-03-19","1987-06-01",NA,73
"33",68,6,1,1987,"Y",350,"1987-03-19","1987-06-01",NA,73
"34",71,6,1,1987,"Y",350,"1987-03-19","1987-06-01",NA,73
"35",81,6,7,1987,"Y",338,"1987-03-19","1987-06-08",NA,80
"36",46,6,7,1987,"Y",322,"1987-03-19","1987-05-18",NA,59
"37",102,6,1,1987,"Y",322,"1987-03-19","1987-06-22",NA,94
"38",57,6,7,1987,"Y",329,"1987-03-24","1987-06-01",NA,68
"39",60,6,7,1987,"Y",329,"1987-03-24","1987-06-01",NA,68
"40",61,6,7,1987,"Y",329,"1987-03-24","1987-06-01",NA,68
