isq,squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
1,12678,0.0465277777777778,0.384623015873016,0.464880952380952,0.103968253968254,0,0,2015,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,10079,4346,4925,2
2,19537,0.0499007936507937,0.459027777777778,0.390178571428571,0.100892857142857,0,0,2015,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,10079,5130,5644,2
5,20495,0.0555555555555556,0.420337301587302,0.429464285714286,0.0946428571428571,0,0,2015,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,10079,4797,5191,2
8,20645,0.0470238095238095,0.388492063492063,0.443849206349206,0.120634920634921,0,0,2015,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,10079,4390,5132,2
9,20836,0.0513888888888889,0.409920634920635,0.40406746031746,0.134623015873016,0,0,2015,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,10079,4650,5489,2
11,19880,0.0525793650793651,0.462003968253968,0.379662698412698,0.105753968253968,0,0,2015,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,10079,5187,5723,2
13,13179,0.0486111111111111,0.426587301587302,0.420039682539683,0.104761904761905,0,0,2015,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,10079,4790,5356,2
15,19537,0.0412698412698413,0.416468253968254,0.439384920634921,0.102876984126984,0,0,2015,03-May-2015,09-May-2015 23:59:00,10079,4614,5235,2
16,21004,0.0447420634920635,0.454861111111111,0.371527777777778,0.128869047619048,0,0,2015,03-May-2015,09-May-2015 23:59:00,10079,5036,5884,2
17,21297,0.0381944444444444,0.438293650793651,0.421329365079365,0.10218253968254,0,0,2015,03-May-2015,09-May-2015 23:59:00,10079,4803,5448,2
21,20862,0.0390046296296296,0.404861111111111,0.443402777777778,0.112731481481481,0,0,2015,04-May-2015,09-May-2015 23:59:00,8639,3835,4472,2
26,19718,0.0412037037037037,0.381018518518519,0.445601851851852,0.132175925925926,0,0,2015,04-May-2015,09-May-2015 23:59:00,8639,3648,4434,2
27,19516,0.0533564814814815,0.492361111111111,0.266319444444444,0.187962962962963,0,0,2015,04-May-2015,09-May-2015 23:59:00,8639,4715,5878,2
28,21276,0.0310515873015873,0.383630952380952,0.468055555555556,0.117261904761905,0,0,2015,03-May-2015,09-May-2015 23:59:00,10079,4180,5049,2
29,20567,0.0513888888888889,0.415575396825397,0.412202380952381,0.120833333333333,0,0,2015,03-May-2015,09-May-2015 23:59:00,10079,4707,5407,2
31,12027,0.0530478395061728,0.487345679012346,0.330054012345679,0.129552469135802,0,0,2016,20-Aug-2016,06-Sep-2016 23:59:00,25919,14007,15990,4
32,21279,0.065359477124183,0.493464052287582,0.34203431372549,0.0991421568627451,0,0,2016,20-Aug-2016,05-Sep-2016 23:59:00,24479,13680,14507,4
33,20729,0.0654003267973856,0.499918300653595,0.313888888888889,0.120792483660131,0,0,2016,20-Aug-2016,05-Sep-2016 23:59:00,24479,13839,15195,4
34,21117,0.0539930555555556,0.485677083333333,0.383333333333333,0.0769965277777778,0,0,2016,20-Aug-2016,04-Sep-2016 23:59:00,23039,12434,12964,4
35,20942,0.0622829861111111,0.474652777777778,0.378342013888889,0.0847222222222222,0,0,2016,20-Aug-2016,04-Sep-2016 23:59:00,23039,12371,12888,4
36,20198,0.0680555555555555,0.454248366013072,0.369648692810458,0.108047385620915,0,0,2016,20-Aug-2016,05-Sep-2016 23:59:00,24479,12786,13765,4
