iRec,isSunrise,SOL,asleepIdx,awakeIdx,firstEE,doy,season,is_mast,sex,is_preg,sq_key_id
1,1,17,692,709,710,115,2,0,1,0,1
1,0,26,697,671,679,115,2,0,1,0,1
2,1,33,690,723,710,116,2,0,1,0,1
2,0,112,736,624,726,116,2,0,1,0,1
3,1,63,690,753,710,117,2,0,1,0,1
3,0,55,783,728,779,117,2,0,1,0,1
4,1,40,726,766,738,118,2,0,1,0,1
4,0,23,771,748,766,118,2,0,1,0,1
5,1,16,694,710,712,119,2,0,1,0,1
5,0,85,736,651,723,119,2,0,1,0,1
6,1,22,723,745,743,115,2,0,1,0,2
6,0,17,716,699,702,115,2,0,1,0,2
7,1,20,697,717,696,116,2,0,1,0,2
7,0,19,723,704,708,116,2,0,1,0,2
8,1,19,689,708,712,117,2,0,1,0,2
8,0,19,668,649,659,117,2,0,1,0,2
9,1,38,691,729,725,118,2,0,1,0,2
9,0,19,685,666,672,118,2,0,1,0,2
10,1,19,705,724,722,119,2,0,1,0,2
10,0,50,681,631,667,119,2,0,1,0,2
11,1,17,691,708,706,115,2,0,1,0,5
11,0,30,671,641,662,115,2,0,1,0,5
12,1,20,700,720,716,116,2,0,1,0,5
12,0,35,669,634,656,116,2,0,1,0,5
13,1,17,737,754,753,117,2,0,1,0,5
13,0,17,653,636,644,117,2,0,1,0,5
14,1,21,706,727,723,118,2,0,1,0,5
14,0,49,723,674,711,118,2,0,1,0,5
15,1,17,676,693,693,119,2,0,1,0,5
15,0,42,705,663,700,119,2,0,1,0,5
16,1,88,654,742,688,115,2,0,1,0,8
16,0,182,702,520,658,115,2,0,1,0,8
17,1,24,683,707,706,116,2,0,1,0,8
17,0,92,701,609,687,116,2,0,1,0,8
18,1,71,649,720,675,117,2,0,1,0,8
18,0,42,695,653,681,117,2,0,1,0,8
19,1,63,733,796,748,118,2,0,1,0,8
19,0,24,735,711,718,118,2,0,1,0,8
20,1,52,656,708,676,119,2,0,1,0,8
20,0,47,715,668,703,119,2,0,1,0,8
21,1,19,701,720,720,115,2,0,1,0,9
21,0,95,686,591,672,115,2,0,1,0,9
22,1,17,694,711,713,116,2,0,1,0,9
22,0,86,726,640,702,116,2,0,1,0,9
23,1,17,683,700,703,117,2,0,1,0,9
23,0,30,740,710,730,117,2,0,1,0,9
24,1,19,693,712,717,118,2,0,1,0,9
24,0,42,773,731,765,118,2,0,1,0,9
25,1,41,693,734,735,119,2,0,1,0,9
25,0,23,720,697,703,119,2,0,1,0,9
26,1,18,675,693,699,115,2,0,1,0,11
26,0,90,698,608,627,115,2,0,1,0,11
27,1,25,668,693,688,116,2,0,1,0,11
27,0,85,729,644,710,116,2,0,1,0,11
28,1,22,673,695,692,117,2,0,1,0,11
28,0,69,724,655,714,117,2,0,1,0,11
29,1,52,676,728,700,118,2,0,1,0,11
29,0,45,744,699,713,118,2,0,1,0,11
30,1,93,682,775,703,119,2,0,1,0,11
30,0,20,688,668,671,119,2,0,1,0,11
31,1,20,702,722,722,115,2,0,1,0,13
31,0,35,724,689,716,115,2,0,1,0,13
32,1,19,687,706,705,116,2,0,1,0,13
32,0,22,763,741,748,116,2,0,1,0,13
33,1,41,685,726,712,117,2,0,1,0,13
33,0,86,726,640,720,117,2,0,1,0,13
34,1,52,707,759,713,118,2,0,1,0,13
34,0,88,767,679,762,118,2,0,1,0,13
35,1,17,685,702,697,119,2,0,1,0,13
35,0,50,751,701,717,119,2,0,1,0,13
36,1,25,709,734,730,124,2,0,1,0,15
36,0,45,660,615,650,124,2,0,1,0,15
37,1,27,727,754,748,125,2,0,1,0,15
37,0,24,710,686,697,125,2,0,1,0,15
38,1,22,713,735,730,126,2,0,1,0,15
38,0,69,695,626,689,126,2,0,1,0,15
39,1,24,717,741,734,127,2,0,1,0,15
39,0,19,685,666,675,127,2,0,1,0,15
40,1,32,706,738,704,128,3,0,1,0,15
40,0,62,702,640,691,128,3,0,1,0,15
41,1,26,882,908,888,124,2,0,1,0,16
41,0,22,599,577,593,124,2,0,1,0,16
42,1,20,813,833,821,125,2,0,1,0,16
42,0,25,694,669,686,125,2,0,1,0,16
43,1,24,771,795,796,126,2,0,1,0,16
43,0,18,726,708,711,126,2,0,1,0,16
44,1,23,737,760,714,127,2,0,1,0,16
44,0,32,707,675,693,127,2,0,1,0,16
45,1,25,723,748,739,128,3,0,1,0,16
45,0,27,739,712,731,128,3,0,1,0,16
46,1,76,683,759,709,124,2,0,1,0,17
46,0,122,736,614,732,124,2,0,1,0,17
47,1,54,729,783,742,125,2,0,1,0,17
47,0,22,723,701,716,125,2,0,1,0,17
48,1,51,783,834,798,126,2,0,1,0,17
48,0,19,687,668,675,126,2,0,1,0,17
49,1,18,732,750,749,127,2,0,1,0,17
49,0,40,741,701,718,127,2,0,1,0,17
50,1,24,723,747,739,128,3,0,1,0,17
50,0,68,716,648,702,128,3,0,1,0,17
51,1,77,796,873,808,125,2,0,1,0,21
51,0,84,696,612,691,125,2,0,1,0,21
52,1,77,709,786,726,126,2,0,1,0,21
52,0,22,744,722,737,126,2,0,1,0,21
53,1,23,791,814,806,127,2,0,1,0,21
53,0,84,751,667,735,127,2,0,1,0,21
54,1,27,703,730,726,128,3,0,1,0,21
54,0,73,734,661,727,128,3,0,1,0,21
55,1,26,837,863,854,125,2,0,1,0,26
55,0,87,726,639,722,125,2,0,1,0,26
56,1,19,780,799,792,126,2,0,1,0,26
56,0,22,720,698,708,126,2,0,1,0,26
57,1,19,786,805,800,127,2,0,1,0,26
57,0,16,741,725,722,127,2,0,1,0,26
58,1,27,711,738,703,128,3,0,1,0,26
58,0,18,744,726,736,128,3,0,1,0,26
59,1,53,803,856,830,125,2,0,1,0,27
59,0,129,673,544,667,125,2,0,1,0,27
60,1,30,731,761,749,126,2,0,1,0,27
60,0,161,715,554,709,126,2,0,1,0,27
61,1,25,756,781,774,127,2,0,1,0,27
61,0,243,672,429,666,127,2,0,1,0,27
62,1,33,670,703,697,128,3,0,1,0,27
62,0,136,681,545,674,128,3,0,1,0,27
63,1,15,719,734,731,124,2,0,1,0,28
63,0,40,734,694,723,124,2,0,1,0,28
64,1,21,779,800,791,125,2,0,1,0,28
64,0,27,743,716,734,125,2,0,1,0,28
65,1,23,808,831,826,126,2,0,1,0,28
65,0,21,753,732,746,126,2,0,1,0,28
66,1,18,724,742,737,127,2,0,1,0,28
66,0,53,764,711,755,127,2,0,1,0,28
67,1,23,706,729,724,128,3,0,1,0,28
67,0,33,750,717,743,128,3,0,1,0,28
68,1,18,831,849,821,124,2,0,1,0,29
68,0,24,726,702,721,124,2,0,1,0,29
69,1,21,855,876,870,125,2,0,1,0,29
69,0,19,725,706,723,125,2,0,1,0,29
70,1,18,702,720,720,126,2,0,1,0,29
70,0,22,733,711,727,126,2,0,1,0,29
71,1,47,786,833,798,127,2,0,1,0,29
71,0,26,714,688,710,127,2,0,1,0,29
72,1,42,814,856,830,128,3,0,1,0,29
72,0,140,772,632,753,128,3,0,1,0,29
73,1,25,716,741,717,234,4,0,1,0,31
73,0,82,716,634,753,234,4,0,1,0,31
74,1,22,704,726,692,235,4,0,1,0,31
74,0,48,675,627,671,235,4,0,1,0,31
