"","squirrel_id","byear","bcert","litter_id","dates","datee","part","longevity"
"1",11994,2011,"Y",5070,NA,"2016-03-21",NA,NA
"2",12846,2011,"Y",5070,NA,"2014-08-17",NA,NA
"3",24816,2019,"Y",9245,NA,NA,NA,NA
"4",12702,2011,"Y",5102,NA,"2011-08-15",NA,NA
"5",24817,2019,"Y",9245,NA,NA,NA,NA
"6",12847,2011,"Y",5102,NA,"2011-05-25",NA,NA
"7",928,1987,"Y",353,"1987-02-03","1990-08-23",NA,1296
"8",2295,1987,"Y",353,"1987-02-03","1994-07-19",NA,2722
"9",51,1987,"Y",351,"1987-02-04","1987-05-25",NA,109
"10",55,1987,"Y",351,"1987-02-04","1987-05-28",NA,112
"11",203,1987,"Y",351,"1987-02-04","1987-08-03",NA,179
"12",186,1987,"Y",326,"1987-02-21","1987-07-27",NA,155
"13",77,1987,"Y",362,"1987-02-28","1987-06-01",NA,92
"14",224,1987,"Y",361,"1987-03-06","1987-08-11",NA,157
"15",93,1987,"Y",331,"1987-03-06","1987-06-15",NA,100
"16",134,1987,"Y",331,"1987-03-06","1987-06-22",NA,107
"17",881,1987,"Y",331,"1987-03-06","1990-08-20",NA,1262
"18",83,1987,"Y",345,"1987-03-08","1987-06-08",NA,91
"19",178,1987,"Y",345,"1987-03-08","1987-07-20",NA,133
"20",58,1987,"Y",374,"1987-03-08","1987-06-01",NA,84
"21",54,1987,"Y",345,"1987-03-08","1987-05-25",NA,77
"22",191,1987,"Y",346,"1987-03-17","1987-08-03",NA,138
"23",70,1987,"Y",346,"1987-03-17","1987-06-01",NA,75
"24",1332,1987,"Y",346,"1987-03-17","1992-06-18",NA,1919
"25",106,1987,"Y",323,"1987-03-18","1987-06-22",NA,95
"26",133,1987,"Y",320,"1987-03-18","1987-06-22",NA,95
"27",163,1987,"Y",320,"1987-03-18","1987-07-13",NA,116
"28",615,1987,"Y",320,"1987-03-18","1989-08-15",NA,880
"29",234,1987,"Y",320,"1987-03-18","1988-05-05",NA,413
"30",135,1987,"Y",322,"1987-03-19","1987-06-22",NA,94
"31",131,1987,"Y",322,"1987-03-19","1987-06-22",NA,94
"32",62,1987,"Y",350,"1987-03-19","1987-06-01",NA,73
"33",68,1987,"Y",350,"1987-03-19","1987-06-01",NA,73
"34",71,1987,"Y",350,"1987-03-19","1987-06-01",NA,73
"35",81,1987,"Y",338,"1987-03-19","1987-06-08",NA,80
"36",46,1987,"Y",322,"1987-03-19","1987-05-18",NA,59
"37",102,1987,"Y",322,"1987-03-19","1987-06-22",NA,94
"38",57,1987,"Y",329,"1987-03-24","1987-06-01",NA,68
"39",60,1987,"Y",329,"1987-03-24","1987-06-01",NA,68
"40",61,1987,"Y",329,"1987-03-24","1987-06-01",NA,68
"41",80,1987,"Y",357,"1987-03-25","1987-06-01",NA,67
"42",52,1987,"Y",330,"1987-03-26","1987-05-25",NA,59
"43",129,1987,"Y",330,"1987-03-26","1987-06-22",NA,87
"44",50,1987,"Y",330,"1987-03-26","1987-05-25",NA,59
"45",173,1987,"Y",352,"1987-03-28","1987-07-13",NA,106
"46",172,1987,"Y",352,"1987-03-28","1987-07-13",NA,106
"47",204,1987,"Y",360,"1987-03-30","1987-08-03",NA,125
"48",79,1987,"Y",319,"1987-03-31","1987-06-01",NA,61
"49",206,1987,"Y",319,"1987-03-31","1987-08-03",NA,124
"50",235,1987,"Y",319,"1987-03-31","1988-05-15",NA,410
"51",419,1987,"Y",319,"1987-03-31","1989-04-29",NA,759
"52",85,1987,"Y",334,"1987-04-01","1987-06-08",NA,67
"53",132,1987,"Y",359,"1987-04-01","1987-06-22",NA,81
"54",546,1987,"Y",359,"1987-04-01","1989-07-01",NA,821
"55",64,1987,"Y",339,"1987-04-02","1987-06-01",NA,59
"56",74,1987,"Y",339,"1987-04-02","1987-06-01",NA,59
"57",207,1987,"Y",315,"1987-04-03","1987-08-03",NA,121
"58",258,1987,"Y",315,"1987-04-03","1988-05-14",NA,406
"59",385,1987,"Y",315,"1987-04-03","1988-07-21",NA,474
"60",59,1987,"Y",325,"1987-04-04","1987-06-01",NA,57
"61",53,1987,"Y",325,"1987-04-04","1987-05-25",NA,50
"62",201,1987,"Y",325,"1987-04-04","1987-08-03",NA,120
"63",236,1987,"Y",327,"1987-04-08","1988-05-05",NA,393
"64",92,1987,"Y",372,"1987-04-08","1987-06-15",NA,68
"65",82,1987,"Y",328,"1987-04-10","1987-06-08",NA,59
"66",88,1987,"Y",328,"1987-04-10","1987-06-08",NA,59
"67",188,1987,"Y",317,"1987-04-16","1987-07-27",NA,102
"68",94,1987,"Y",317,"1987-04-16","1987-06-15",NA,60
"69",187,1987,"Y",321,"1987-04-19","1987-07-27",NA,99
"70",87,1987,"Y",321,"1987-04-19","1987-06-08",NA,50
"71",49,1987,"Y",316,"1987-04-22","1987-04-22",NA,0
"72",78,1987,"Y",316,"1987-04-22","1987-06-01",NA,40
"73",183,1987,"Y",316,"1987-04-22","1987-07-27",NA,96
"74",41,1987,"Y",318,"1987-04-23","1987-04-23",NA,0
"75",190,1987,"Y",318,"1987-04-23","1987-08-03",NA,102
"76",475,1987,"Y",318,"1987-04-23","1989-05-22",NA,760
"77",37,1987,"Y",318,"1987-04-23","1987-04-23",NA,0
"78",38,1987,"Y",318,"1987-04-23","1987-04-23",NA,0
"79",91,1987,"Y",332,"1987-05-13","1987-05-13",NA,0
"80",84,1987,"Y",332,"1987-05-13","1987-05-13",NA,0
"81",89,1987,"Y",332,"1987-05-13","1987-05-13",NA,0
