axy,filename,grid,midden,season,sex,sex_status,squirrel_id,tag_left,tag_right,treatment,year,source,isValid,shiftMin,rec_startDate,rec_endDate,rec_midDate,rec_midDoy,is_preg,rec_litterId,rec_litterSize,rec_mins
RR,B10_Apr23_2015__20150424.mat,KL,"B.10.",PeakLactation,M,,12678,F8999,-,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,0,0,0,10080
XF,B6_Apr23_2015__20150424.mat,SU,"B6",PeakLactation,M,,19537,H2806,M0620,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,0,0,0,10080
SS,D17_Apr23_2015__20150424.mat,KL,"D17.",PeakLactation,F,lactating,13288,H3732,F7985,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,1,5898,3,10080
XH,D2_Apr23_2015__20150424.mat,SU,"D2",PeakLactation,F,lactating,12003,F7188,F5020,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,1,5634,1,10080
DD,E1_Apr23_2015__20150424.mat,SU,"E.1.",PeakLactation,M,,20495,H4228,H4229,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,0,0,0,10080
QQ,E5_Apr30_2015__20150501.mat,KL,"E.5",PeakLactation,F,lactating,11256,F5170,F5171,control,2015,ES,1,0,01/05/2015 00:00:00.000,09/05/2015 23:59:00.000,16/08/2015 23:48:00.000,228,1,4831,5,12960
WW,F1_Apr23_2015__20150424.mat,KL,"F1",PeakLactation,F,lactating,12285,F7979,F7980,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,1,5963,4,10080
BW,F6_Apr23_2015__20150424.mat,KL,"F6.",PeakLactation,M,,20645,H4747,H4088,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,0,0,0,10080
LL,G2_Apr23_2015__20150424.mat,KL,"G.2",PeakLactation,M,,20836,H4042,H4285,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,0,0,0,10080
XC,H6_Apr23_2015__20150424.mat,KL,"H.6",PeakLactation,F,lactating,12305,F8032,F8033,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,1,5197,3,10080
KK,J1_Apr23_2015__20150424.mat,KL,"J1",PeakLactation,M,,19880,H3828,H2553,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,0,0,0,10080
AB,,KL,"-2.11",PeakLactation,F,lactating,12827,H0378,F6814,control,2015,ES,0,0,NaT,NaT,NaT,0,0,0,0,0
XD,N8_Apr23_2015__20150424.mat,KL,"N8.",PeakLactation,M,,13179,H1307,H2992,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,0,0,0,10080
AC,P3_Apr23_2015__20150424.mat,SU,"P3",PeakLactation,F,lactating,11722,F6503,F6559,control,2015,ES,1,0,24/04/2015 00:00:00.000,30/04/2015 23:59:00.000,16/07/2015 23:47:59.999,197,1,5626,2,10080
CB,B6_Apr23_2015__20150503.mat,SU,"B6",PeakLactation,M,,19537,H2806,M0620,control,2015,ES,1,0,03/05/2015 00:00:00.000,09/05/2015 23:59:00.000,25/07/2015 23:47:59.999,206,0,0,0,10080
BU,C4_Apr23_2015__20150503.mat,SU,"C.4",PeakLactation,M,,21004,H4867,H4868,control,2015,ES,1,0,03/05/2015 00:00:00.000,09/05/2015 23:59:00.000,25/07/2015 23:47:59.999,206,0,0,0,10080
BW,C6_Apr23_2015__20150503.mat,SU,"C.6.",PeakLactation,M,,21297,H4518,H4519,control,2015,ES,1,0,03/05/2015 00:00:00.000,09/05/2015 23:59:00.000,25/07/2015 23:47:59.999,206,0,0,0,10080
AC,I16_Apr23_2015__20150503.mat,KL,"I.16",PeakLactation,F,lactating,20409,H3810,H3811,control,2015,ES,1,0,03/05/2015 00:00:00.000,09/05/2015 23:59:00.000,25/07/2015 23:47:59.999,206,1,5921,4,10080
